transaction_id,customer_id,transaction_date,amount,product_category,payment_method,store_location,quantity
TXN001,CUST0001,2025-01-15,125.50,ELECTRONICS,CREDIT_CARD,NEW YORK,2
TXN002,CUST0002,2025-01-15,45.99,CLOTHING,DEBIT_CARD,LOS ANGELES,1
TXN003,CUST0003,2025-01-15,299.99,ELECTRONICS,CREDIT_CARD,CHICAGO,1
TXN004,CUST0001,2025-01-15,89.99,BOOKS,CASH,NEW YORK,3
TXN005,CUST0004,2025-01-15,199.99,ELECTRONICS,CREDIT_CARD,HOUSTON,1
TXN006,CUST0005,2025-01-16,34.99,CLOTHING,DEBIT_CARD,PHOENIX,2
TXN007,CUST0002,2025-01-16,149.99,ELECTRONICS,CREDIT_CARD,LOS ANGELES,1
TXN008,CUST0006,2025-01-16,79.99,SPORTS,CASH,PHILADELPHIA,1
TXN009,CUST0007,2025-01-16,24.99,BOOKS,DEBIT_CARD,SAN ANTONIO,1
TXN010,CUST0003,2025-01-16,399.99,ELECTRONICS,CREDIT_CARD,CHICAGO,2
TXN011,CUST0008,2025-01-17,59.99,CLOTHING,CREDIT_CARD,SAN DIEGO,3
TXN012,CUST0001,2025-01-17,99.99,SPORTS,DEBIT_CARD,NEW YORK,1
TXN013,CUST0009,2025-01-17,179.99,ELECTRONICS,CREDIT_CARD,DALLAS,1
TXN014,CUST0010,2025-01-17,44.99,BOOKS,CASH,SAN JOSE,2
TXN015,CUST0004,2025-01-17,129.99,CLOTHING,CREDIT_CARD,HOUSTON,2
TXN016,CUST0011,2025-01-18,249.99,ELECTRONICS,DEBIT_CARD,AUSTIN,1
TXN017,CUST0005,2025-01-18,69.99,SPORTS,CREDIT_CARD,PHOENIX,1
TXN018,CUST0012,2025-01-18,89.99,CLOTHING,CASH,JACKSONVILLE,2
TXN019,CUST0002,2025-01-18,199.99,ELECTRONICS,CREDIT_CARD,LOS ANGELES,1
TXN020,CUST0013,2025-01-18,39.99,BOOKS,DEBIT_CARD,FORT WORTH,3
TXN021,CUST0006,2025-01-19,159.99,ELECTRONICS,CREDIT_CARD,PHILADELPHIA,1
TXN022,CUST0014,2025-01-19,79.99,CLOTHING,DEBIT_CARD,COLUMBUS,2
TXN023,CUST0007,2025-01-19,299.99,ELECTRONICS,CREDIT_CARD,SAN ANTONIO,2
TXN024,CUST0015,2025-01-19,49.99,SPORTS,CASH,CHARLOTTE,1
TXN025,CUST0003,2025-01-19,119.99,BOOKS,CREDIT_CARD,CHICAGO,4
TXN026,CUST0016,2025-01-19,189.99,ELECTRONICS,DEBIT_CARD,INDIANAPOLIS,1
TXN027,CUST0008,2025-01-19,64.99,CLOTHING,CREDIT_CARD,SAN DIEGO,2
TXN028,CUST0017,2025-01-19,139.99,SPORTS,CASH,SAN FRANCISCO,1
TXN029,CUST0001,2025-01-19,279.99,ELECTRONICS,CREDIT_CARD,NEW YORK,3
TXN030,CUST0018,2025-01-19,54.99,BOOKS,DEBIT_CARD,SEATTLE,2
